symbol,exchange,organ_name,en_organ_name,type,id,short_name,sector1_vn,sector2_vn,sector3_vn,sector1_en,sector2_en,sector3_en,listing_shares,source
F88,UPCOM,CTCP Đầu tư F88,F88 Investment Joint Stock company,STOCK,89.0,Đầu tư F88,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Financials,Financial Services,Financial Services,8264612,CURRENT_LOCKED
FCN,HOSE,CTCP FECON,FECON CORPORATION,STOCK,90.0,FECON,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,157439005,CURRENT_LOCKED
FIT,HOSE,CTCP Tập đoàn F.I.T,F.I.T Group Joint Stock Company,STOCK,91.0,F.I.T,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Health Care,"Pharma., Bio. & Life Sciences",Pharmaceuticals,339933034,CURRENT_LOCKED
FOX,UPCOM,CTCP Viễn thông FPT,FPT Telecom Joint Stock Company,STOCK,92.0,Viễn thông FPT,Dịch vụ truyền thông,Dịch vụ viễn thông,Dịch vụ viễn thông đa dạng,Communication Services,Telecommunication,Diversified Telecommunication Services,738763463,CURRENT_LOCKED
FPT,HOSE,CTCP FPT,FPT Corporation,STOCK,93.0,FPT,Công nghệ thông tin,Phần mềm và dịch vụ,Phần mềm,Information Technology,Software,Software,1703507121,CURRENT_LOCKED
FRT,HOSE,CTCP Bán lẻ Kỹ thuật số FPT,FPT Digital Retail Joint Stock Company,STOCK,94.0,Bán lẻ Kỹ thuật số FPT,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Bán lẻ chuyên doanh,Consumer Discretionary,Consumer Discre. Dist. & Retail,Specialty Retail,170301785,CURRENT_LOCKED
FTS,HOSE,CTCP Chứng khoán FPT,FPT Securities JSC,STOCK,95.0,Chứng khoán FPT,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,346498009,CURRENT_LOCKED
GAS,HOSE,Tổng Công ty Khí Việt Nam - CTCP,PetroVietnam Gas Joint Stock Corporation,STOCK,96.0,Khí Việt Nam - CTCP,Tiện ích,Tiện ích,Gas sinh hoạt,Utilities,Utilities,Gas Utilities,2342672919,CURRENT_LOCKED
GEE,HOSE,CTCP Điện lực Gelex,Gelex Electricity Joint Stock Company,STOCK,97.0,Điện lực Gelex,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Industrials,Capital Goods,Electrical Equipment,365999956,CURRENT_LOCKED
GEG,HOSE,CTCP Điện Gia Lai,Gia Lai Electricity Joint Stock Company,STOCK,98.0,Điện Gia Lai,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Utilities,Utilities,Independent Power and Renewable Electricity Producers,358308371,CURRENT_LOCKED
